Date,Open,High,Low,Close,Adj Close,Volume
2025-01-01,150.00,152.50,149.00,151.20,151.20,1000000
2025-01-02,151.50,153.00,150.80,152.80,152.80,1100000
2025-01-03,152.00,154.50,151.50,153.60,153.60,1200000
2025-01-04,153.80,155.20,152.90,154.90,154.90,1050000
2025-01-05,154.50,156.00,153.80,155.70,155.70,980000
2025-01-08,155.90,157.50,155.00,156.80,156.80,1300000
2025-01-09,157.00,158.20,156.50,157.90,157.90,1150000
2025-01-10,158.10,159.80,157.80,159.20,159.20,1250000
2025-01-11,159.50,161.00,158.90,160.50,160.50,1400000
2025-01-12,160.80,162.30,160.20,161.90,161.90,1180000
